,SVZ,gVk,JuV,mjH,XZwO,Rsle,LTF,Htjn,vnx,tONb
1,0.09364516977942229,0.09651620353906415,0.13063746495728806,0.09108273493636694,0.08708859037314819,0.22169633618706788,0.06945135056601123,0.09108273493636694,0.06461258672332902,0.05418682800193547
1.1,0.15308817181808962,0.0,0.2135620099613039,0.0,0.14236968247100532,0.27181663682378704,0.11353687876792373,0.0,0.10562662015789054,0.0
1.2,0.0,0.0,0.0,0.22552945975505267,0.0,0.5489410804898947,0.0,0.22552945975505267,0.0,0.0
1.3,0.0,0.19217111736309253,0.20808731955697327,0.0,0.13872001680887358,0.3531314417946758,0.0,0.0,0.0,0.10789010447638481
1.1.1,0.4175319675968411,0.0,0.5824680324031589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.2,0.20573783323904077,0.0,0.2870096668462613,0.0,0.0,0.36529906415566116,0.0,0.0,0.1419534357590369,0.0
1.1.3,0.0,0.0,0.45490161229603926,0.0,0.30325711070929867,0.0,0.24184127699466199,0.0,0.0,0.0
1.3.1,0.0,0.21077931852598786,0.2282367090952968,0.0,0.15215247228667836,0.29049424416474456,0.0,0.0,0.0,0.11833725592729237
1.3.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.3.1.1,0.0,0.0,0.28919250908253386,0.0,0.19278824777184772,0.3680773337340756,0.0,0.0,0.0,0.14994190941154278
1.3.1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
